Designator,Quantity,Value,Footprint,MPN,Manufacturer,Supplier,Supplier Part Number,Notes/Alternatives
U1,1,ESP32-WROOM-32E,ESP32-WROOM-32E,ESP32-WROOM-32E,Espressif,LCSC,C507115,Core MCU. Alt: ESP32-WROOM-32D (C424627)
U2,1,ADS1115,MSOP-10,ADS1115IDGSR,Texas Instruments,LCSC,C98973,16-bit ADC #1. Alt: ADS1115IDGST (C98972)
U3,1,ADS1115,MSOP-10,ADS1115IDGSR,Texas Instruments,LCSC,C98973,16-bit ADC #2. Alt: ADS1115IDGST (C98972)
U4,1,TCA9548A,TSSOP-24,TCA9548APWR,Texas Instruments,LCSC,C2689682,I2C Mux. Alt: PCA9548APWR (C124380)
U5,1,SHT31-D,SMD-8,SHT31-DIS-B,Sensirion,LCSC,C2889820,Temp/Humidity. Alt: SHT30-DIS-B (C2043160)
U6,1,SSD1306,OLED_0.96_SMD,SSD1306-B,SmartVision,LCSC,C247353,"0.96"" OLED. Alt: SH1106 (C196659)"
BZ1,1,5V_Buzzer,Buzzer_12x9.5,MBT-12A05,CUI Devices,LCSC,C96093,Active Buzzer. Alt: HMB-1205A (C115333)
J1,1,USB-C_16P,TYPE-C-31-M-12,TYPE-C-31-M-12,Hroparts Elec,LCSC,C165948,USB-C Power. Alt: TYPE-C-31-M-18 (C276513)
J2-J9,8,1x4_Header,2.54mm_1x4_Female,2.54-1X4P-F,Generic,LCSC,C124380,MQ Sensor Slots (4-pin)
J10-J17,8,1x6_Header,2.54mm_1x6_Female,2.54-1X6P-F,Generic,LCSC,C124381,MEMS Sensor Slots (6-pin)
J19,1,JST_PH_2P,JST_PH_2.0mm_2P,JST-PH-2P,Generic,LCSC,C159156,Fan Connector. Alt: Any 2.0mm 2-pin JST
FAN1,1,5V_40mm_Fan,Fan_40x40x10,4010S05C,Sunon,LCSC,C2893825,Exhaust Fan. Alt: Any 5V 40x10mm DC fan
LED1,1,Red_LED,LED_0603,APT1608SURCK,Kingbright,LCSC,C2286,Status LED. Alt: Any 0603 Red LED
R1-R20,20,10k,Resistor_0603,RC0603FR-0710KL,Yageo,LCSC,C103301,I2C Pull-ups/General. Alt: Any 0603 10k
R21,1,330,Resistor_0603,RC0603FR-07330RL,Yageo,LCSC,C22963,LED Current Limit. Alt: Any 0603 330R
C1-C20,20,100nF,Capacitor_0603,GRM188R71H104KA93D,Murata,LCSC,C14663,Decoupling. Alt: Any 0603 100nF
C21-C24,4,10uF,Capacitor_0805,GRM21BR61A106KE51L,Murata,LCSC,C15850,Bulk Power. Alt: Any 0805 10uF
